
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader																							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Meat & Veg																						// Category Name
		CaninaBerry,																	*,		10,			8	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																	*,		10,			8	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
	<Category> Packaged Food & Drinks
		PowderedMilk,																	*,		100,		75
		BoxCerealCrunchin,																*,		200,		100
		Rice,																			*,		300,		100
		Marmalade,																		*,		300,		150
		PeachesCan,																		*,		400,		200
		SardinesCan,																	*,		400,		200
		TunaCan,																		*,		400,		200
		SpaghettiCan,																	*,		500,		200
		BakedBeansCan,																	*,		500,		200
		TacticalBaconCan,																*,		500,		300		
		SodaCan_Cola, 																	*,		200, 		100
		SodaCan_Kvass, 																	*,		200, 		100
		SodaCan_Pipsi, 																	*,		200, 		100
		SodaCan_Spite, 																	*,		200, 		100
		WaterBottle,																	*,		500,		200
		Canteen,																		*,		800,		450
		Vodka,																			*,		1200,		800
		
	<Category> Medical Supplies
		BandageDressing,																2,		300,		100
		BloodTestKit,																	*,		500,		200
		InjectionVial,																	*,		500, 		200
		Thermometer,																	*,		500,		200
		DisinfectantSpray,																*,		800,		500
		Syringe,																		*,		800, 		500
		Heatpack,																		*,		1000,		500
		StartKitIV,																		*,		1000,		600
		SalineBag,																		*,		1500,		800
		BloodBagEmpty,																	*,		1800,		1000
		FirstAidKit,																	*,		2000,		1000
		//Defibrillator,																*,		3500, 		2000
		CharcoalTablets,																*,		200,		100
		DisinfectantAlcohol,															*,		400,		200
		VitaminBottle,																	*,		600,		400
		TetracyclineAntibiotics,														*,		800,		500
		PainkillerTablets,																*,		1000,		600
		Epinephrine,																	*,		2000,		1000
		Morphine,																		*,		2000,		1000
		ToxicCure,																		*,		10000,		8000

	<Category> Facial Tinctures		
	     MVS_Beard_01_Brown,                                                            *,      1500,   	750
	     MVS_Beard_01_LightBrown,                                                       *,      1500,   	750
	     MVS_Beard_01_Black,                                                           	*,      1500,   	750
	     MVS_Beard_01_Blonde,                                                      		*,      1500,   	750
	     MVS_Beard_01_White,                                                      		*,      1500,   	750
	     MVS_Beard_02_Brown,                                                            *,      1500,   	750
	     MVS_Beard_02_LightBrown,                                                       *,      1500,   	750
	     MVS_Beard_02_Black,                                                           	*,      1500,   	750
	     MVS_Beard_02_Blonde,                                                      		*,      1500,   	750
	     MVS_Beard_02_White,                                                      		*,      1500,   	750
	     MVS_Beard_03_Brown,                                                            *,      1500,   	750
	     MVS_Beard_03_LightBrown,                                                       *,      1500,   	750
	     MVS_Beard_03_Black,                                                          	*,      1500,   	750
	     MVS_Beard_03_Blonde,                                                      		*,      1500,   	750
	     MVS_Beard_03_White, 															*,		2500,		1750

	<Category> Cannabis
        CigarettePack_Chernamorka,          											*,		-1,			600
        CigarettePack_Merkur,              												*,		-1,			600
        CigarettePack_Partyzanka,            											*,		-1,			600
//		CP_TobaccoSeedsPack,															*,		-1, 		-1
		CP_CigarettePack_CannabisSkunk,													*,		-1,			800
		CP_CannabisBagSkunk,															1,		-1,			310
		CP_CannabisBrickSkunk,															*,		-1,			1000
//		CP_CannabisSeedsPackSkunk,														*,		-1, 		-1
		CP_CigarettePack_CannabisBlue,													*,		-1,			1600
        CP_CannabisBagBlue,																1,		-1,			630
		CP_CannabisBrickBlue,															*,		-1,			2500
//		CP_CannabisSeedsPackBlue,														*,		-1, 		-1
		CP_CigarettePack_CannabisKush,													*,		-1,			2350
        CP_CannabisBagKush,																1,		-1,			940
		CP_CannabisBrickKush,															*,		-1,			4250
//		CP_CannabisSeedsPackKush,														*,		-1, 		-1
		CP_CigarettePack_CannabisStardawg,												*,		-1,			1150
        CP_CannabisBagStardawg,															1,		-1,			1250
		CP_CannabisBrickStardawg,														*,		-1,			3000
//		CP_CannabisSeedsPackStardawg,													*,		-1, 		-1
		CP_CigarettePack_CannabisFuture,												*,		-1,			1450
        CP_CannabisBagFuture,															1,		-1,			1250
		CP_CannabisBrickFuture,															*,		-1,			4000		
//		CP_CannabisSeedsPackFuture,														*,		-1, 		-1
		CP_CigarettePack_CannabisS1,													*,		-1,			1750
        CP_CannabisBagS1,																1,		-1,			1250
		CP_CannabisBrickS1,																*,		-1,			3500
//		CP_CannabisSeedsPackS1,															*,		-1, 		-1
		CP_CigarettePack_CannabisNomad,													*,		-1,			2150
        CP_CannabisBagNomad,															1,		-1,			1250
		CP_CannabisBrickNomad,															*,		-1,			4500
//		CP_CannabisSeedsPackNomad,														*,		-1, 		-1
		CP_CigarettePack_CannabisBlackFrost,											*,		-1,			3150
        CP_CannabisBagBlackFrost,														1,		-1,			1250
		CP_CannabisBrickBlackFrost,														*,		-1,			5000				
//		CP_CannabisSeedsPackBlackFrost,													*,		-1, 		-1

<Trader> Misc Trader
	<Category> Tools
		Screwdriver,																	*,		30,			15
		Wrench,																			*,		30,			15
		SewingKit,																		*,		40, 		25
		Pliers,																			*,		40, 		25
		LeatherSewingKit,																*,		50, 		35
		Whetstone,																		*,		50,			40
		Hammer,																			*,		70,			50
		Hacksaw,																		*,		70,			50
		HandSaw,																		*,		70,			50
		WeaponCleaningKit,																*,		80, 		50
		CanOpener,																		*,		100,		80
		Compass,																		*,		100,		80
		OrienteeringCompass,															*,		100,		80
		Hatchet,																		*,		100,		80
		ChernarusMap,																	*,		150,		150
		Lockpick,																		*,		200,		100
		Binoculars,																		*,		300,		150		
		FishingRod,																		*,		1000,		700
		LugWrench,																		*,		400,		300
		Crowbar,																		*,		500,		300
		Shovel,																			*,		600,		500
		Pickaxe,																		*,		1000,		800
		SledgeHammer,																	*,		1200,		900
		WoodAxe,																		*,		1000,		800
		FirefighterAxe,																	*,		3000,		2200
		
	<Category> Electronics
		Battery9V,																		*,		100,		75
		PersonalRadio,																	*,		100,		75
		Megaphone,																		*,		300,		150
		ElectronicRepairKit,															*,		350,		170
		CableReel,																		*,		400,		200
		BatteryCharger,																	*,		400,		300
		BaseRadio,																		*,		500,		400
		Rangefinder,																	*,		600,		450
		NVGoggles,																		*,		10000,		7500
	
	<Category> Fire & Lights
		Chemlight_Blue,																	*,		20,			10
		Chemlight_Green,																*,		20,			10
		Chemlight_Red,																	*,		20,			10
		Chemlight_White,																*,		20,			10
		Chemlight_Yellow,																*,		20,			10
		Roadflare,																		*,		40,			30
		Matchbox,																		*,		60,			50
		Flashlight,																		*,		150,		150
		PortableGasLamp,																*,		250,		150
		PortableGasStove,																*,		300,		250
		Headtorch_Black,																*,		400,		300
		Headtorch_Grey,																	*,		400,		300
		Spotlight,																		*,		600,		500
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,															*,		5,			2
		Pot,																			M,		25,			10
		Tripod,																			*,		35,			15
		BearTrap,																		*,		500,		300
	
	<Category> Hardware Supplies
		Paper,																			*,		1,			0
		Pen_Blue,																		*,		2,			1
		Rope,																			*,		4,			1
		TannedLeather,																	*,		4,			1
		AntiPestsSpray,																	*,		8,			4
		MetalWire,																		*,		15,			6
		EpoxyPutty,																		*,		15,			6
		DuctTape,																		*,		20,			8
		XmasLights,																		*,		25,			10
		HandcuffKeys,																	*,		35,			12
		Handcuffs,																		*,		50,			15
		Netting,																		1,		50,			10
		BurlapSack,																		*,		50,			10
		WoodenPlank,																	10,		50,			15
		MetalPlate,																		*,		60,			18
		SmallProtectorCase,																*,		70,			30
		AmmoBox,																		*,		80,			35
		SmallGasCanister,																*,		80,			35
		MediumGasCanister,																*,		100,		80
		LargeGasCanister,																*,		200,		170
		CanisterGasoline,																*,		300,		280
		NailBox,																		*,		300,		220
		BarbedWire,																		*,		450,		300
		Camonet,																		*,		600,		550
		HescoBox,																		*,		650,		550
		CombinationLock,																*,		700,		600
		CombinationLock4,																*,		900,		600
		BarrelHoles_Blue,																*,		800,		500
		BarrelHoles_Green,																*,		800,		500
		BarrelHoles_Red,																*,		800,		500
		BarrelHoles_Yellow,																*,		800,		500
		Barrel_Blue,																	M,		1500,		1350
		Barrel_Green,																	M,		1500,		1350
		Barrel_Red,																		M,		1500,		1350
		Barrel_Yellow,																	M,		1500,		1350
		SeaChest,																		*,		2000,		1500
		PowerGenerator,																	*,		3000,		1000
		MediumTent,																		*,		3000,		2500		
		CarTent,																		*,		5000,		5000
		LargeTent,																		*,		7000,		6000
		CodeLock,																		*,		10000,		8000

	<Category> BaseBuildingPlus
		BBP_Land_Claim_FlagKit,															*,		5000,		2500
		BBP_Blueprint,																	*,		100,		50
		BBP_Workbench,																	*,		1500,		750
		BBP_T1_WallKit,																	*,		200,		100
		BBP_T1_Wall_HalfKit,															*,		200,		100
		BBP_T1_DoorKit,																	*,		300,		150
		BBP_T1_GateKit,																	*,		400,		200
		BBP_T1_WindowKit,																*,		300,		150
		BBP_T1_RoofKit,																	*,		200,		100
		BBP_T1_FloorKit,																*,		200,		100
		BBP_T1_Floor_HatchKit,															*,		300,		150
		BBP_T1_StairKit,																*,		300,		150
		BBP_T1_RampKit,																	*,		300,		150
		BBP_T1_Ramp_WideKit,															*,		320,		160
		BBP_T2_WallKit,																	*,		400,		200
		BBP_T2_Wall_HalfKit,															*,		400,		200
		BBP_T2_DoorKit,																	*,		600,		300
		BBP_T2_GateKit,																	*,		800,		400
		BBP_T2_RoofKit,																	*,		400,		200
		BBP_T2_FloorKit,																*,		400,		200
		BBP_T3_WallKit,																	*,		800,		400
		BBP_T3_Wall_HalfKit,															*,		800,		400
		BBP_T3_DoorKit,																	*,		1200,		600
		BBP_T3_GateKit,																	*,		1400,		700
		BBP_T3_WindowKit,																*,		1200,		600
		BBP_T3_RoofKit,																	*,		800,		400
		BBP_T3_FloorKit,																*,		800,		400
		BBP_T3_Floor_HatchKit,															*,		1000,		500
		//BBP_Underground_BunkerKit,													*,		4000,		2000 // Not ready for use
		//BBP_Ladder_Kit,																*,		500,		250  // Not ready for use
		BBP_Cement,																		*,		60,			30
		BBP_Mortar_Mix,																	*,		60,			30
		BBP_Wood_Storage,																*,		1000,		700
		BBP_Old_Lamp,																	*,		600,		500
		BBP_Floor_Lamp,																	*,		800,		700
		BBP_Sun_Shade,																	*,		600,		500
		BBP_Tape_Measure,																*,		20,			10
		BBP_Painting,																	*,		200,		100
		BBP_Painting_1,																	*,		200,		100
		BBP_Painting_2,																	*,		200,		100
		BBP_Xmas_Tree,																	*,		400,		200
		BBP_MagnetBox,																	*,		100,		50
		BBP_Golf,																		*,		80,			40
		BBP_Gang_Plug,																	*,		800,		600
		BBP_Solar_PanelKit,																*,		6000,		6000
		BBP_Carpet,																		*,		200,		100
		BBP_Wallpaper,																	*,		200,		100
		BBP_T3_Door_HalfKit,															*,		1000,		800
		BBP_T1_FoundationKit,															*,		300,		150
		BBP_T2_FoundationKit,															*,		600,		400
		BBP_T3_FoundationKit,															*,		1000,		700
		BBP_PillarKit,																	*,		200,		100
		BBP_BedKit,																		*,		800,		700
		BBP_Bedding,																	*,		120,		60
		BBP_Step_LadderKit,																*,		800,		600
		BBP_T2_WindowKit,																*,		600,		600
		BBP_T3_StairKit,																*,		1000,		900
		BBP_Plaster,																	*,		200,		100
		BBP_Bucket,																		*,		10000,		7500
		BBP_WellKit,																	*,		10000,		7500
		BBP_T1_Roof_HatchKit,															*,		300,		150
		BBP_T2_Roof_HatchKit,															*,		600,		500
		BBP_T3_Roof_HatchKit,															*,		1200,		1000
		BBP_T2_StairKit,																*,		600,		400
		BBP_Wheelbarrow,																*,		400,		400
		BBP_Toilet,																		*,		600,		500
		BBP_SofaKit,																	*,		800,		600
		BBP_Dance_FloorKit,																*,		400,		300
		BBP_XmasLights_9v,																*,		80,			40
		BBP_XmasLights_Solar,															*,		120,		90
		gunwall_kit_mung,                    											*,      1000,   	800
		gunwall_metal_kit_mung,              											*,      1000,   	800
		hardigg_Mung,                        											*,      3000,    	2500
		ballgrill_mung,			             											*,		3000,	 	2500	

<Trader> Weapon Trader
	<Category> Airsoft & Non-Leathal
		RubberBox_762x54_20Rnd,															*,		10,     0
		RubberBox_380ACP,																*,		10,     0
		RubberBox_45ACP,																*,		10,     0
		RubberBox_9x19,																	*,		10,     0
		AirSoft_Sniper,						 											*,		1000,     0
		Mag_AirSoft_Sniper, 															*,		100,     0
		Ammo_AirSoft_308, 																*,		10,     0
		AirSoft_Pistol9mm, 																*,		1000,     0
		Mag_AirSoft_Pistol_9mm, 														*,		100,     0
		Ammo_AirSoft9mm, 																*,		10,     0
		AirSoft_Pistol45ACP, 															*,		1000,     0
		Mag_AirSoft_Pistol_45ACP, 														*,		100,     0
		Ammo_AirSoft_45ACP, 															*,		10,     0
		AirSoft_SMG45ACP, 																*,		1000,     0
		Mag_AirSoft_SMG_45ACP, 															*,		100,     0
		Ammo_AirSoft_45ACP, 															*,		10,     0
		AirSoft_SMG9mm, 																*,		1000,     0
		Mag_AirSoft_SMG_9mm, 															*,		100,     0
		Ammo_AirSoft9mm, 																*,		10,     0
		AirSoft_RifleM4, 																*,		1000,     0
		Mag_AirSoft_M4, 																*,		100,     0
		Ammo_AirSoft_556, 																*,		10,     0
		AirSoft_RifleAK, 																*,		1000,     0
		Mag_AirSoft_AK, 																*,		100,     0
		Ammo_AirSoft_762, 																*,		10,     0
		DZUDartGun_Black,                        										*,      1000,  	0
		DZUDartGun_Green,                        										*,      1000,  	0
		DZUDart_Mag,                        											*,      100,  	0
		DZUDart_Ammo_TypeC,                        										*,      10,  	0


	<Category> Melee &  Blades	
		BrassKnuckles_Shiny,															W,		15,			6
		StunBaton,																		W,		15,			9
		Pipe,																			W,		25,			10
		CattleProd,																		W,		25,			15
		BaseballBat,																	W,		35,			17
		NailedBaseballBat,																W,		45,			20
		CombatKnife,																	*,		100,		50
		KitchenKnife,																	*,		80,			40
		SteakKnife,																		*,		90,			40
		HuntingKnife,																	*,		90,			40
		Machete,																		*,		120,		60
		Mosin_Bayonet,																	*,		100,		60
		M9A1_Bayonet,																	*,		150,		75
		AK_Bayonet,																		*,		150,		75
		SKS_Bayonet,																	*,		100,		60
		TWP_NailedBat,																	W,		500,		450
		TWP_BoarBayonet,																*,		15000,		10000
		TWP_WolfBayonet,																*,		15000,		10000
		TWP_WhiteWolfBayonet,															*,		15000,		10000
		TWP_M9A1_Bayonet,																*,		1500,		1000
		TWP_M16_Bayonet,																*,		1500,		1000
		TWP_Kar98_Bayonet,																*,		1500,		1000
		TWP_SawBat,																		W,		1500,		1200
		TWP_Mjolnir,																	W,		7500,		1200
		TWP_Rose,																		W,		2500,		1200
		TWP_Kukri,																		W,		2500,		1200
		TWP_Kukri_Gradient,																W,		2500,		1200
		TWP_Kukri_Sakura,																W,		2500,		1200
		TWP_Kukri_Engraved,																W,		2500,		1200
		TWP_SmithWesson_Knife_Green,													W,		3500,		2500
		TWP_SmithWesson_Knife_Black,													W,		3500,		2500
		TWP_HolyMakarel,																W,		7500,		7000
		TWP_NinjaSword,																	W,		5500,		3500
		TWP_Axe,																		W,		7500,		5000

	<Category> Sidearms
		MakarovIJ70,																	W,		100,		50
		Mag_IJ70_8Rnd,																	M,		30,			15
		CZ75,																			W,		135,		70
		Mag_CZ527_5rnd,																	M,		60,			30
		FNX45,																			W,		175,		90
		Mag_FNX45_15Rnd,																M,		40,			20
		Glock19,																		W,		300,		130
		Mag_Glock_15Rnd,																M,		40,			20
		MKII,																			W,		320,		160
		Mag_MKII_10Rnd,																	M,		40,			20
		Colt1911,																		W,		340,		180
		Mag_1911_7Rnd,																	M,		40,			20
		Engraved1911,																	W,		340,		180
		Nagant1895_mung,                    											*,      1000,  		500
		TWP_ArexZero,																	W,   	6000,		4000 	
		TWP_ArexZero_mag_18Rnd,															M,		100,		100
		TWP_Beretta92FS,																W,   	1600,		1200	
		TWP_Beretta92FSDesert,															W,   	3600,		3000
		TWP_BerettaGoldenFlower,														W,   	4600,		3500	
		TWP_Beretta92FS_mag_15Rnd,														M,		100,		100
		TWP_BerettaDEBurton,															W,   	10000,		8000	
		TWP_BerettaDEBlack,																W,   	10000,		8000	
		TWP_BerettaDE_mag_15Rnd,														M,		250,		200
		TWP_BerettaPX4,																	W,   	1600,		1200	
		TWP_BerettaPX4_mag_17Rnd,														M,		100,		100
		TWP_BerettaSwordCutlass,														W,   	12000,     1000	
		TWP_BerettaSwordCutlass_mag_20Rnd,												M,		300,     200
	 	TWP_Colt1911Gold,																W,   	1600,     1200
		TWP_Colt1911Gold_mag_7Rnd,														M,		200,     150
		TWP_Colt1911Holy,																W,   	1800,     1600
		TWP_Colt1911Holy_mag_7Rnd,														M,		200,     150
		TWP_Colt1911Stainless,															W,   	2000,     1800
		TWP_Colt1911Stainless_mag_7Rnd,													M,		200,     150
		TWP_1911_WilsonCombat,															W,   	2100,     2000
		TWP_1911_WilsonCombat_mag_7Rnd,													M,		200,     150
		TWP_CZ75M,																		W,   	2100,     1700
		TWP_CZ75M_mag_20Rnd,															M,		200,     150
		TWP_DesertEagle,																W,   	55000,     50000
		TWP_DesertEagleSky,																W,   	52000,     49000
		TWP_DesertEagle_mag_7Rnd,														M,		200,     150
		TWP_DesertEagleFalcon,															W,   	26000,     22000
		TWP_DesertEagleFalcon_mag_7Rnd,													M,		2000,     1500
		TWP_FN57Pink,																	W,   	10000,     8000
		TWP_FN57Pink_mag_15Rnd,															M,		200,     150	
		TWP_FN57Toxic,																	W,   	10000,    10000			
		TWP_FN57Toxic_mag_15Rnd,														M,		200,     150	
		TWP_FNS9,																		W,   	2000,     1500		
		TWP_FNS9_mag_18Rnd,																M,		200,     150
		TWP_Glock18Egyptian,															W,   	10000,    8000
		TWP_Glock18Egyptian_mag_17Rnd,													M,		200,     150
		TWP_Glock18Honor,																W,   	10000,    8000
		TWP_Glock18Honor_mag_17Rnd,														M,		200,     150
		TWP_Glock18Jungle,																W,   	10000,    8000
		TWP_Glock18Jungle_mag_17Rnd,													M,		200,     150
		TWP_Glock18Rebel,																W,   	10000,    8000
		TWP_Glock18Rebel_mag_17Rnd,														M,		200,     150
		TWP_Glock18Weasel,																W,   	10000,    8000
		TWP_Glock18Weasel_mag_17Rnd,													M,		200,     150
		TWP_Glock18Wolf,																W,   	10000,    8000
		TWP_Glock18Wolf_mag_17Rnd,														M,		200,     150
		TWP_Glock19M,																	W,   	1400,    1000
		TWP_Glock19M_mag_15Rnd,															M,		200,     150
		TWP_Glock42,																	W,   	1500,     1200
		TWP_Glock42_mag_12Rnd,															M,		200,     150
		TWP_Glock42_mag_50Rnd,															M,		350,     200
		TWP_GlockZapper,																W,		12000,   10000
		TWP_GlockZapper_mag_15Rnd,														M,		200,     1501
		TWP_HK47,																		W,		-1,     -1
		TWP_HK47_mag_15Rnd,																M,		-1,     -1
		TWP_HK47Tan,																	W,		-1,     -1
		TWP_HK47Tan_mag_15Rnd,															M,		-1,     -1
		TWP_LugerP08,																	W,		-1,     -1
		TWP_LugerP08_mag_8Rnd,															M,		-1,     -1
		TWP_MK23Socom,																	W,		-1,     -1
		TWP_MK23Socom_mag_12Rnd,														M,		-1,     -1
		TWP_MP40,																		W,		-1,     -1
		TWP_MP40_mag_15Rnd,																M,		-1,     -1
		TWP_MP443,																		W,		-1,     -1
		TWP_MP443_mag_18Rnd,															M,		-1,     -1
		TWP_P8,																			W,		-1,     -1
		TWP_P8_mag_15Rnd,																M,		-1,     -1
		TWP_P2000BlueGirl,																W,		-1,     -1
		TWP_P2000BlueGirl_mag_16Rnd,													M,		-1,     -1
		TWP_P2000Protector,																W,		-1,     -1
		TWP_P2000Protector_mag_16Rnd,													M,		-1,     -1
		TWP_P2000Renegade,																W,		-1,     -1
		TWP_P2000Renegade_mag_16Rnd,													M,		-1,     -1
		TWP_P2000Toxic,																	W,		-1,     -1
		TWP_P2000Toxic_mag_16Rnd,														M,		-1,     -1
		TWP_SigSauerP226,																W,		-1,     -1
		TWP_SigSauerP226_mag_12Rnd,														M,		-1,     -1
		TWP_SigSauerP229,																W,		-1,     -1
		TWP_SigSauerP229_mag_13Rnd,														M,		-1,     -1
		TWP_SigSauerP250,																W,		-1,     -1
		TWP_SigSauerP250_mag_10Rnd,														M,		-1,     -1
		TWP_SigSauerP250Colored,														W,		-1,     -1
		TWP_SigSauerP250Colored_mag_10Rnd, 												M,		-1,     -1
		TWP_SigSauerP250Patrician,														W,		-1,     -1
		TWP_SigSauerP250Patrician_mag_10Rnd,											M,		-1,     -1
		TWP_SigSauerP250PeaCock,														W,		-1,     -1
		TWP_SigSauerP250PeaCock_mag_10Rnd, 												M,		-1,     -1
		TWP_SigSauerP250Wingshot,														W,		-1,     -1
		TWP_SigSauerP250Wingshot_mag_10Rnd, 											M,		-1,     -1
		TWP_SP1Vektor,																	W,		-1,     -1
		TWP_SP1Vektor_mag_15Rnd, 														M,		-1,     -1
		TWP_SR1Gyrza,																	W,		-1,     -1
		TWP_SR1Gyrza_mag_18Rnd, 														M,		-1,     -1
		TWP_Tokarev,																	W,		-1,     -1
		TWP_Tokarev_mag_8Rnd,															M,		-1,     -1
		TWP_USPChromatic,																W,		-1,     -1
		TWP_USPChromatic_mag_15Rnd,														M,		-1,     -1
		TWP_USPPsychodelic,																W,		-1,     -1
		TWP_USPPsychodelic_mag_15Rnd,													M,		-1,     -1
		TWP_WaltherP99,																	W,		-1,     -1
		TWP_WaltherP99_mag_15Rnd,														M,		-1,     -1
		TWP_WaltherQ5,																	W,		-1,     -1
		TWP_WaltherQ5_mag_15Rnd,														M,		-1,     -1
		TWP_Glock17,																	W,		-1,     -1
		TWP_Glock17_mag_19Rnd,															M,		-1,     -1		
		
		<Category> Rifles		
		Izh18,																			W,		350,		175		
		Mosin9130,																		W,		400,		200		
		CZ527,																			W,		500,		250		
		Winchester70,																	W,		500,		250		
		SKS,																			W,		600,		300
		TTC_KAC, 																		W, 		20000, 		7500
		TTC_MAS36, 																		W, 		20000, 		7500
		TTC_Winchester1873, 															W, 		20000, 		7500		
		TTC_kar98k, 																	W,	 	20000, 		17500
		TTC_R700, 																		W, 		20000, 		17500
		VSS,																			W,		1600,		960
		Mag_VSS_10Rnd,																	M,		220,		110
		B95,																			W,		1700,		1100
		SVD,																			W,		2000,		1200
		Mag_SVD_10Rnd,																	M,		250,		125
		MassSVT40,																		*,		1000,		5	
		MassSVT40_Black,																*,		1000,		5	
		MassSVT40_Green,																*,		1000,		5	
		MassSVT40_Camo,																	*,		1000,		5
		MassScout556,																	*,		1000,		5		
		Scout556mag,																	*,		1000,		500	
		Massm300,																		*,		1000,		5	
		Massm300_camo,																	*,		1000,		5			
		MassKivaari,																	*,		30000,		25000		
		kivaarimag,																		*,		1000,		500	
		MassB52,																		*,		1200,		750	
		MassPpskn,																		*,		1000,		5	
		MassM110,																		*,		1000,		5
		Massmini14,																		*,		1000,		5
		csmcmillan_mung,			        											*,		1000,	 	500		
		Gewehr43_mung,			            											*,		1200,	 	600		
		Mag_gewehr43_10Rnd_mung,														*,		400,		200	
		TWP_Airbow,																		W,		-1,     -1
		TWP_AmericanRifle,																W,		-1,     -1
		TWP_AmericanRifle_mag_5Rnd,														M,		-1,     -1
		TWP_ASW338,																		W,		-1,     -1
		TWP_ASW338_mag_5Rnd,															M,		-1,     -1
		TWP_AWMBlack,																	W,		-1,     -1
		TWP_AWMCustom,																	W,		-1,     -1
		TWP_AWMDesert,																	W,		-1,     -1
		TWP_AWMGreen,																	W,		-1,     -1
		TWP_AWMGreenTan,																W,		-1,     -1
		TWP_AWM_mag_5Rnd,																M,		-1,     -1
		TWP_BarrettM82,																	W,		-1,     -1
		TWP_BarrettM82_mag_10Rnd,														M,		-1,     -1
		TWP_BarrettM82Desert,															W,		-1,     -1
		TWP_BarrettM82Snow,																W,		-1,     -1
		TWP_FRF2,																		W,		-1,     -1
		TWP_FRF2_mag_5Rnd,																M,		-1,     -1
		TWP_Kar98,																		W,		-1,     -1
		TWP_L96A1,																		W,		-1,     -1
		TWP_L96A1_mag_5Rnd,																M,		-1,     -1
		TWP_M1ASocom,																	W,		36000,     30000
		TWP_M1Garand,																	W,		28000,     26500
		TWP_M200,																		W,		-1,     -1
		TWP_M200_mag_7Rnd,																M,		-1,     -1
		TWP_M200Old,																	W,		-1,     -1
		TWP_M200Old_mag_7Rnd,															M,		-1,     -1
		TWP_M24BrownTan,																W,		-1,     -1
		TWP_M24GreenTan,																W,		-1,     -1
		TWP_M24GreenTan2,																W,		-1,     -1
		TWP_M24Snow,																	W,		-1,     -1
		TWP_M24Wood,																	W,		-1,     -1
		TWP_M24_mag_4Rnd,																M,		-1,     -1
		TWP_M40A5,																		W,		-1,     -1
